Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
SLC12A4	10	-0.013996	-0.24201	0.95867	0.98934	0.80877	0.99951	-0.012547	-0.21696	0.86009	0.9292	0.82824	0.95402	-0.25359	-4.3809	0.0051657	0.082759	1.1819e-05	0.00070401
STK3	10	-0.045403	-0.54289	0.55446	0.80312	0.58721	0.99951	0.01408	0.16841	0.82092	0.91336	0.86626	0.95779	0.090984	1.0857	0.91563	0.96419	0.27761	0.54931
MARK1	10	-0.023963	-0.24322	0.88248	0.95886	0.80784	0.99951	0.0021449	0.021775	0.96298	0.9833	0.98263	0.99722	0.19684	1.9953	0.36892	0.69845	0.046015	0.20836
G6PC3	10	0.0075552	0.092017	0.65217	0.8612	0.92668	0.99951	0.12386	1.5098	0.057684	0.2144	0.13108	0.45584	0.0052161	0.063234	0.55446	0.8045	0.94958	0.98609
NQO2	10	-0.020139	-0.27976	0.94533	0.98564	0.77966	0.99951	-0.080687	-1.1216	0.25829	0.51062	0.26204	0.64347	-0.022795	-0.31439	0.41929	0.73328	0.75323	0.89739
PAK6	10	-0.10118	-0.70762	0.10676	0.37054	0.47918	0.99951	-0.085733	-0.60035	0.23074	0.47861	0.54827	0.83939	-0.082623	-0.57508	0.18855	0.53875	0.56524	0.79434
IL6R	10	-0.014512	-0.10473	0.96341	0.98985	0.91659	0.99951	0.055888	0.40348	0.39518	0.64061	0.68659	0.90678	0.093499	0.67355	0.90056	0.95919	0.50059	0.75122
CHM	10	0.12513	1.1028	0.0038743	0.038961	0.27012	0.99951	0.18995	1.6788	0.0060267	0.04321	0.093195	0.37156	0.019681	0.17076	0.64184	0.86135	0.86441	0.95544
AKAP3	10	-0.032842	-0.35237	0.74042	0.89677	0.72456	0.99951	0.039539	0.42446	0.53982	0.75405	0.67123	0.89535	0.16292	1.7437	0.52002	0.78391	0.081217	0.28629
ACVR1B	10	-0.0055651	-0.065415	0.84546	0.93702	0.94784	0.99951	0.034056	0.40047	0.59019	0.78298	0.68881	0.90709	-0.055677	-0.65228	0.27981	0.64229	0.51422	0.76328
C17orf75	10	-0.077711	-1.043	0.21567	0.50657	0.29693	0.99951	-0.087129	-1.1699	0.21954	0.46279	0.24204	0.61923	0.076564	1.0248	0.98924	0.99653	0.30546	0.58355
STRADA	10	0.031418	0.36413	0.33491	0.63047	0.71576	0.99951	0.15748	1.8273	0.015067	0.084746	0.067649	0.30874	0.00078577	0.0090543	0.52906	0.79086	0.99278	0.99621
ALAS1	10	-0.096562	-1.0403	0.12096	0.38599	0.29821	0.99951	-0.15341	-1.6532	0.040895	0.16608	0.098285	0.3818	-0.016405	-0.17607	0.44856	0.75054	0.86024	0.95477
CHRNA1	10	0.018633	0.13744	0.4873	0.75449	0.89068	0.99951	0.11706	0.86558	0.072751	0.24493	0.38672	0.74083	-0.14211	-1.0372	0.06328	0.32527	0.29963	0.57811
VKORC1L1	10	-0.099605	-1.1015	0.11063	0.37409	0.27068	0.99951	-0.11944	-1.3216	0.09901	0.29449	0.18631	0.54786	-0.042841	-0.47165	0.33276	0.67835	0.63718	0.83538
CD46	10	0.010143	0.13672	0.60654	0.8267	0.89125	0.99951	0.0047085	0.063472	0.92768	0.96593	0.94939	0.98325	0.1907	2.569	0.39819	0.71672	0.010198	0.085569
PIP5K1B	10	0.0746	0.90069	0.068446	0.29887	0.36775	0.99951	0.1359	1.6409	0.03616	0.15441	0.10081	0.38621	-0.16281	-1.9627	0.040034	0.25833	0.049676	0.21691
TEX14	10	0.064428	1.2392	0.10805	0.3713	0.21529	0.99951	0.12356	2.3769	0.058545	0.21656	0.017458	0.12517	0.057612	1.1066	0.86268	0.9382	0.26846	0.53795
PPP1R15B	10	-0.12262	-1.0838	0.049935	0.25054	0.27844	0.99951	-0.32395	-2.8627	0	0	0.0041999	0.040053	0.24018	2.1132	0.22643	0.58575	0.034586	0.18111
KCNC4	10	0.064867	0.90801	0.10676	0.37054	0.36387	0.99951	0.18357	2.5703	0.0068876	0.04908	0.01016	0.08075	-0.33993	-4.7398	0	0	2.1392e-06	0.0001603
EIF2AK1	10	0.0057271	0.11875	0.67628	0.867	0.90547	0.99951	0.060258	1.25	0.36203	0.60898	0.21129	0.58222	-0.18584	-3.8354	0.02712	0.21356	0.00012536	0.0039891
PLEKHA4	10	-0.01206	-0.14975	0.93026	0.97919	0.88096	0.99951	-0.079327	-0.98584	0.26733	0.51707	0.32421	0.70322	-0.045726	-0.56371	0.322	0.67524	0.57295	0.79699
CINP	10	-0.30026	-2.7116	0	0	0.0066959	0.14956	-0.58308	-5.2597	0	0	1.4427e-07	5.8797e-06	0.013865	0.1245	0.60439	0.83028	0.90092	0.96837
TRIO	10	0.0022424	0.027083	0.73396	0.89314	0.97839	0.99951	-0.011248	-0.13594	0.87688	0.93612	0.89187	0.96273	-0.14023	-1.6804	0.065002	0.32898	0.092874	0.31024
CYC1	10	-0.12599	-1.0881	0.044339	0.23146	0.27654	0.99951	-0.2666	-2.3028	0.00086096	0.0074349	0.02129	0.14583	-0.30054	-2.5795	0.00086096	0.02	0.0098942	0.084641
RDH14	10	-0.078191	-0.61558	0.21223	0.50254	0.53817	0.99951	-0.098276	-0.77387	0.16659	0.40104	0.43901	0.77611	0.16539	1.3002	0.51012	0.78309	0.19353	0.45874
FBP2	10	-0.0014796	-0.018264	0.78218	0.90959	0.98543	0.99951	0.083449	1.0308	0.21093	0.45328	0.30263	0.68648	-0.029849	-0.36696	0.38442	0.70728	0.71365	0.8753
TXK	10	-0.078929	-0.74303	0.21007	0.50051	0.45747	0.99951	-0.04588	-0.43233	0.50452	0.73221	0.6655	0.89427	0.080983	0.75855	0.97934	0.99217	0.44812	0.71736
CBS	10	-0.086502	-0.9939	0.16229	0.44197	0.32027	0.99951	-0.078302	-0.90019	0.27335	0.52393	0.36802	0.73599	0.080565	0.92224	0.98192	0.99217	0.35641	0.63785
NAGS	10	-0.010135	-0.056473	0.90314	0.9646	0.95496	0.99951	-0.017624	-0.098291	0.79854	0.90005	0.9217	0.977	0.362	2.0103	0.038743	0.25281	0.044397	0.20548
FXYD2	8	-0.081343	-0.97054	0.25786	0.55929	0.33178	0.99951	-0.029354	-0.35037	0.73267	0.86329	0.72606	0.91865	-0.19912	-2.3664	0.042187	0.26203	0.017961	0.12234
ALDH1B1	10	-0.10554	-1.2877	0.092553	0.35008	0.19786	0.99473	-0.11151	-1.3609	0.1201	0.33018	0.17356	0.52565	0.10065	1.2262	0.86225	0.9382	0.22013	0.49265
TK2	10	-0.00058023	-0.0039083	0.77056	0.9078	0.99688	0.99984	0.048761	0.32863	0.45243	0.69327	0.74243	0.92601	0.0079336	0.053241	0.56995	0.81227	0.95754	0.98828
ADRBK2	10	0.04154	0.61611	0.24537	0.54545	0.53782	0.99951	0.13045	1.9351	0.047353	0.18803	0.052974	0.27139	-0.073538	-1.0888	0.22084	0.57835	0.27626	0.54711
B4GALT2	10	-0.089027	-1.0571	0.15196	0.4253	0.29048	0.99951	-0.08348	-0.99161	0.24279	0.49258	0.32139	0.70102	-0.015685	-0.18563	0.452	0.75377	0.85274	0.95057
GART	10	-0.1051	-1.3546	0.092983	0.35008	0.17553	0.9849	-0.10026	-1.294	0.16014	0.39407	0.19567	0.56132	-0.029954	-0.38242	0.38399	0.70728	0.70215	0.86945
PPP1R16B	10	0.011977	0.13802	0.58115	0.81475	0.89022	0.99951	0.070878	0.81729	0.2811	0.52861	0.41376	0.76223	-0.13114	-1.5026	0.076625	0.3596	0.13295	0.3725
EPHA7	10	0.033565	0.44272	0.31769	0.61686	0.65796	0.99951	0.084719	1.1181	0.20276	0.4435	0.26353	0.64508	-0.034743	-0.45595	0.36332	0.69408	0.64843	0.83919
CSF2RA	10	0.0050076	0.089303	0.68833	0.87582	0.92884	0.99951	-0.025199	-0.4494	0.71029	0.84833	0.65314	0.89182	0.075935	1.353	0.98364	0.99262	0.17605	0.43141
CRB2	10	-0.10045	-1.5104	0.10891	0.37261	0.13095	0.89732	-0.062565	-0.94095	0.3814	0.62748	0.34673	0.72123	-0.041448	-0.6221	0.33879	0.68092	0.53387	0.77572
RLBP1	10	-0.053982	-0.70248	0.45114	0.73184	0.48238	0.99951	-0.025409	-0.33076	0.709	0.84833	0.74083	0.92573	0.057046	0.74069	0.8588	0.9382	0.45888	0.72615
CDKN1C	10	-0.0085794	-0.12556	0.88248	0.95886	0.90008	0.99951	0.086357	1.2646	0.19199	0.42898	0.20601	0.57472	-0.048503	-0.70719	0.30951	0.66884	0.47945	0.73479
ADAM33	10	-0.1557	-1.5165	0.012053	0.09396	0.1294	0.89731	-0.092974	-0.90566	0.18769	0.42386	0.36512	0.73434	-0.068909	-0.6704	0.23762	0.60262	0.5026	0.75228
PPP2R2D	10	-0.001145	-0.015269	0.77916	0.90959	0.98782	0.99951	0.059547	0.79519	0.36763	0.61351	0.4265	0.76966	0.013861	0.18337	0.60439	0.83028	0.85451	0.95114
PLAUR	10	-0.091563	-1.3436	0.13646	0.39924	0.17908	0.99441	-0.089697	-1.3164	0.20405	0.44507	0.18805	0.55009	-0.076568	-1.1219	0.21093	0.56452	0.26189	0.53133
PDE4B	10	0.049169	0.70035	0.18338	0.47195	0.48371	0.99951	0.056333	0.80255	0.39087	0.63719	0.42223	0.76866	0.10149	1.4429	0.85794	0.93788	0.14905	0.39479
UCK2	10	-0.023731	-0.4868	0.88463	0.95938	0.6264	0.99951	0.030176	0.61952	0.63582	0.8071	0.53557	0.82998	-0.023189	-0.47325	0.41799	0.73328	0.63603	0.83475
INPP5B	10	-0.035351	-0.67581	0.6991	0.87648	0.49916	0.99951	-0.036703	-0.70169	0.59664	0.78571	0.48287	0.79986	-0.091852	-1.7547	0.16057	0.50609	0.079307	0.2817
PTH1R	10	-0.068624	-0.6912	0.29445	0.59825	0.48944	0.99951	0.038446	0.38749	0.55101	0.76236	0.6984	0.90886	-0.17489	-1.7531	0.031425	0.22393	0.079589	0.28227
PBK	10	-0.036285	-0.59389	0.69006	0.87596	0.55258	0.99951	-0.071868	-1.1766	0.31296	0.55454	0.23937	0.6158	-0.010354	-0.16903	0.47266	0.7621	0.86578	0.95544
GYG1	10	0.017439	0.22818	0.5071	0.76669	0.81951	0.99951	0.014008	0.18335	0.82135	0.91336	0.85453	0.95582	-0.048929	-0.63789	0.30865	0.66884	0.52354	0.76731
ISPD	10	-0.077273	-1.1076	0.2204	0.51406	0.26803	0.99951	-0.010841	-0.15568	0.87904	0.9367	0.87629	0.96119	-0.14552	-2.0678	0.059406	0.31944	0.038657	0.19147
AMN	10	-0.17439	-1.9467	0.0047353	0.045267	0.051571	0.63723	-0.23697	-2.6467	0.0030133	0.023569	0.0081274	0.06767	0.11608	1.2912	0.76883	0.91309	0.19663	0.46305
CDKN3	10	-0.057814	-0.74491	0.40551	0.69881	0.45633	0.99951	-0.096914	-1.2489	0.17305	0.4102	0.21171	0.58272	0.068166	0.877	0.93285	0.9735	0.38048	0.66422
PTPRE	10	0.0227	0.16663	0.44253	0.72702	0.86766	0.99951	0.06517	0.47889	0.32243	0.56213	0.63201	0.88658	0.11166	0.81463	0.79509	0.91754	0.41528	0.69255
NDUFB1	10	-0.038359	-0.3525	0.65906	0.8612	0.72446	0.99951	0.094953	0.87288	0.15239	0.38024	0.38273	0.73776	0.076591	0.70261	0.98924	0.99653	0.4823	0.73709
APCS	10	-0.039143	-0.54579	0.64658	0.85861	0.58521	0.99951	-0.056851	-0.79302	0.42359	0.66961	0.42777	0.76975	-0.19075	-2.6441	0.024968	0.21168	0.008191	0.076416
ASPA	10	-0.10862	-0.82518	0.084374	0.33504	0.40927	0.99951	-0.13221	-1.0059	0.073612	0.24747	0.31449	0.69725	0.2512	1.8974	0.19759	0.54567	0.057769	0.23397
MAST1	10	-0.051578	-0.51051	0.47396	0.74543	0.60969	0.99951	-0.092657	-0.91742	0.18812	0.42386	0.35892	0.72909	0.012141	0.11974	0.59406	0.82536	0.90469	0.96871
MB	10	-0.021972	-0.34099	0.91132	0.97066	0.73311	0.99951	0.011888	0.18451	0.84503	0.92463	0.85361	0.95582	-0.095118	-1.4738	0.1511	0.49229	0.14054	0.38193
NDUFS2	10	-0.11973	-1.1685	0.057684	0.26962	0.24259	0.99951	-0.23264	-2.2709	0.0030133	0.023569	0.023153	0.15545	-0.20955	-2.0315	0.014636	0.15888	0.042202	0.20115
PFKFB3	10	0.075601	0.72384	0.066724	0.2958	0.46916	0.99951	0.074407	0.71341	0.25958	0.51102	0.47559	0.79536	-0.1029	-0.97556	0.13259	0.45846	0.32928	0.60972
CXCR1	10	0.01202	0.12376	0.58028	0.81475	0.9015	0.99951	0.033271	0.34274	0.60095	0.7864	0.7318	0.92039	0.05112	0.52426	0.83384	0.93632	0.6001	0.81511
NGF	10	0.033013	0.39259	0.32157	0.61992	0.69462	0.99951	0.10969	1.3051	0.098579	0.29449	0.19187	0.55645	-0.10136	-1.2004	0.13517	0.46244	0.22997	0.50209
PRPF4B	10	-0.18013	-1.7575	0.0038743	0.038961	0.078839	0.76537	-0.27895	-2.7224	0.00043048	0.0039526	0.0064819	0.056607	-0.19516	-1.8929	0.022815	0.20152	0.05837	0.235
IP6K1	10	-0.046808	-0.66787	0.53724	0.78901	0.50422	0.99951	0.041335	0.59098	0.52346	0.74419	0.55453	0.84219	-0.11465	-1.6233	0.10719	0.41459	0.10452	0.323
ABL2	10	-0.018605	-0.26517	0.97202	0.99166	0.79088	0.99951	-0.018664	-0.26616	0.78734	0.89525	0.79012	0.93824	-0.017085	-0.24211	0.44511	0.74819	0.80869	0.92358
PAM	10	0.069978	0.58749	0.085665	0.33786	0.55688	0.99951	0.17737	1.4947	0.0077486	0.052023	0.13499	0.45912	-0.27276	-2.252	0.0030133	0.061947	0.02432	0.14436
CD3D	10	-0.06401	-1.1557	0.33749	0.6343	0.24781	0.99951	-0.048802	-0.88131	0.48472	0.72133	0.37815	0.73776	-0.15007	-2.7014	0.051227	0.28814	0.0069038	0.068245
IGF1R	10	-0.11884	-1.6298	0.058975	0.27291	0.10314	0.83424	-0.18733	-2.5695	0.015497	0.086331	0.010185	0.08075	-0.14405	-1.9708	0.061989	0.3236	0.048747	0.21652
FECH	10	-0.27197	-2.6942	0	0	0.007055	0.15608	-0.57036	-5.6468	0	0	1.6342e-08	9.7342e-07	-0.058747	-0.57974	0.26733	0.63367	0.56209	0.7919
SLC25A12	10	-0.010924	-0.18164	0.9152	0.97255	0.85587	0.99951	0.0057294	0.0953	0.91649	0.95858	0.92408	0.97741	-0.053959	-0.89396	0.28713	0.64981	0.37134	0.6545
CDK16	10	0.04989	0.50276	0.17822	0.46465	0.61513	0.99951	0.11962	1.2058	0.067585	0.23574	0.2279	0.60396	-0.046426	-0.46667	0.31941	0.67455	0.64074	0.83743
CALM1	10	-0.082774	-0.8366	0.18898	0.47926	0.40281	0.99951	-0.040304	-0.4077	0.56479	0.7677	0.6835	0.90638	0.083967	0.84508	0.95824	0.98322	0.39807	0.68044
FRK	10	-0.053179	-0.53727	0.4576	0.73412	0.59108	0.99951	-0.037038	-0.37438	0.59277	0.78506	0.70812	0.91451	0.095625	0.96316	0.88851	0.95247	0.33547	0.61794
ACADSB	10	0.017173	0.27286	0.50926	0.76669	0.78496	0.99951	0.098225	1.5614	0.13603	0.35347	0.11843	0.4297	-0.14946	-2.3654	0.052949	0.29567	0.018012	0.12234
ACACA	10	-0.44084	-3.7175	0	0	0.00020121	0.014607	-0.73097	-6.1593	0	0	7.307e-10	7.9756e-08	-0.19725	-1.6558	0.022385	0.19847	0.097757	0.31685
HCN2	10	-0.050535	-0.71188	0.48816	0.75449	0.47654	0.99951	0.033131	0.46687	0.60224	0.7864	0.64059	0.89182	-0.18119	-2.5448	0.028412	0.21569	0.010934	0.088194
MAP3K12	10	-0.039262	-0.62459	0.64572	0.85861	0.53224	0.99951	-0.10298	-1.6387	0.14808	0.37514	0.10127	0.38688	-0.0005868	-0.0093001	0.52088	0.78419	0.99258	0.99621
P4HTM	10	0.01646	0.15421	0.51743	0.77165	0.87744	0.99951	0.040635	0.38081	0.53207	0.74894	0.70335	0.91146	-0.012557	-0.11732	0.46707	0.76087	0.90661	0.96871
MAPK8IP3	10	-0.029329	-0.43847	0.79294	0.91551	0.66105	0.99951	0.035115	0.52504	0.57727	0.77662	0.59955	0.86831	0.054966	0.82084	0.84933	0.93682	0.41174	0.69221
KCNQ2	10	-0.21457	-1.9859	0.00086096	0.010638	0.047048	0.61728	-0.34371	-3.1834	0	0	0.0014556	0.016823	0.14979	1.3761	0.57641	0.81597	0.1688	0.42073
TRIB2	10	0.011218	0.10683	0.59019	0.81559	0.91492	0.99951	0.050068	0.47717	0.44296	0.686	0.63324	0.88776	0.25867	2.455	0.17994	0.52645	0.014087	0.10489
SLC1A7	10	-0.016649	-0.11895	0.9944	0.99914	0.90532	0.99951	0.060113	0.4296	0.36418	0.61039	0.66749	0.89427	0.012535	0.089389	0.59664	0.82549	0.92877	0.97759
ARL3	10	-0.004303	-0.066051	0.82437	0.92423	0.94734	0.99951	-0.022182	-0.34052	0.74344	0.87016	0.73346	0.92116	0.084001	1.288	0.95824	0.98322	0.19773	0.46442
PPIF	10	-0.065969	-0.72103	0.31425	0.61603	0.47089	0.99951	-0.0072613	-0.07944	0.91692	0.9586	0.93668	0.98035	0.29237	3.1867	0.11451	0.42903	0.0014392	0.022886
LIPF	10	0.030762	0.37836	0.34438	0.64309	0.70516	0.99951	0.071339	0.87788	0.27809	0.52679	0.38001	0.73776	-0.056866	-0.69654	0.27335	0.63627	0.48609	0.74063
CDC14B	10	-0.072919	-1.0027	0.25872	0.56011	0.31601	0.99951	-0.0060469	-0.083183	0.93155	0.9678	0.93371	0.98035	-0.02583	-0.35415	0.40422	0.7212	0.72323	0.88192
HTR4	10	0.13405	1.7999	0.00086096	0.010638	0.07188	0.73559	0.16035	2.1539	0.013775	0.080605	0.031244	0.19	-0.048734	-0.65127	0.30908	0.66884	0.51487	0.76369
AKT3	10	0.033983	0.41887	0.31554	0.61681	0.67531	0.99951	0.072085	0.89033	0.27464	0.52545	0.37329	0.73742	-0.045214	-0.55111	0.32243	0.67524	0.58156	0.80038
RSL24D1	10	-0.46503	-3.2377	0	0	0.0012051	0.045892	-0.6648	-4.6273	0	0	3.7052e-06	8.7828e-05	-0.65571	-4.4723	0	0	7.7381e-06	0.00048583
SCN2A	10	-0.034631	-0.28261	0.71072	0.88383	0.77748	0.99951	-0.070034	-0.57211	0.32544	0.56502	0.56725	0.84905	0.16707	1.3548	0.50452	0.78081	0.17547	0.43088
ARF1	10	-0.25291	-1.7443	0	0	0.081115	0.7714	-0.41489	-2.8622	0	0	0.0042071	0.040053	-0.060204	-0.41018	0.26173	0.62616	0.68167	0.85686
SLC1A3	10	-0.098542	-1.1044	0.11537	0.37588	0.26943	0.99951	-0.16412	-1.8413	0.029272	0.13573	0.065577	0.30467	0.039462	0.438	0.76625	0.91282	0.66138	0.84557
RYK	10	-0.02184	-0.23566	0.91261	0.9707	0.8137	0.99951	0.029233	0.31566	0.64701	0.8164	0.75226	0.93107	0.092832	0.99719	0.90357	0.95932	0.31867	0.59844
MOK	10	-0.057189	-0.63476	0.41326	0.70644	0.52558	0.99951	-0.11812	-1.3122	0.10073	0.29583	0.18944	0.55009	0.13739	1.5157	0.64916	0.86697	0.1296	0.36805
CKMT2	10	-0.048459	-0.72139	0.51442	0.77027	0.47067	0.99951	-0.034148	-0.50861	0.62204	0.79702	0.61103	0.87403	-0.24324	-3.6016	0.0060267	0.08589	0.00031626	0.0076528
CAMKK2	10	-0.043781	-0.28998	0.58287	0.81475	0.77183	0.99951	-0.1085	-0.71934	0.12957	0.34354	0.47193	0.79327	0.082214	0.54062	0.97245	0.99036	0.58877	0.80644
CA3	10	0.041616	0.64146	0.24365	0.54267	0.52123	0.99951	0.040701	0.62741	0.53164	0.74894	0.53039	0.82802	-0.03627	-0.55835	0.3573	0.68931	0.57661	0.79972
HPRT1	10	0.0095258	0.17017	0.61644	0.83401	0.86488	0.99951	0.050763	0.90758	0.43823	0.68185	0.3641	0.73374	-0.010084	-0.17903	0.47439	0.7621	0.85792	0.95402
GNB1	10	0.14152	1.2931	0.00043048	0.0058824	0.19596	0.99473	0.2277	2.0823	0	0	0.037318	0.21195	-0.11211	-1.0168	0.11106	0.4202	0.30923	0.5862
MARCKS	10	-0.089657	-0.60354	0.1455	0.41422	0.54615	0.99951	-0.21855	-1.4713	0.0051657	0.038217	0.14122	0.46467	0.48247	3.2451	0.0038743	0.07377	0.0011741	0.019622
CYP2C9	10	0.06867	1.0042	0.08997	0.34488	0.31529	0.99951	0.14209	2.0785	0.028842	0.13481	0.037661	0.21235	-0.035375	-0.51565	0.36203	0.69357	0.6061	0.81782
TNK1	10	-0.048991	-0.77407	0.50753	0.76669	0.43889	0.99951	-0.11632	-1.8379	0.10719	0.30665	0.06608	0.3057	0.014731	0.23256	0.61128	0.83776	0.8161	0.92568
RAF1	10	0.0020979	0.02844	0.73698	0.89446	0.97731	0.99951	0.084106	1.1418	0.20577	0.44631	0.25354	0.63535	-0.14673	-1.9726	0.058545	0.3185	0.048536	0.216
PDGFRB	10	-0.08135	-1.3274	0.1963	0.48927	0.18439	0.99473	-0.090508	-1.4771	0.19888	0.43875	0.13965	0.4641	-0.0036067	-0.058747	0.50839	0.78309	0.95315	0.98759
P4HA2	10	-0.01335	-0.099754	0.9505	0.98792	0.92054	0.99951	0.033214	0.24872	0.60138	0.7864	0.80357	0.94708	-0.15265	-1.1264	0.048644	0.28109	0.25999	0.53118
TRIM28	10	-0.25426	-2.34	0	0	0.019284	0.31771	-0.40667	-3.7431	0	0	0.00018174	0.0027775	-0.032721	-0.29974	0.37279	0.70065	0.76438	0.90089
INPP5D	10	0.11849	1.8469	0.0047353	0.045267	0.064756	0.71632	0.1654	2.5782	0.011623	0.070312	0.0099328	0.079663	-0.039844	-0.62049	0.34309	0.6812	0.53493	0.77572
NT5C2	10	0.1457	1.5644	0.00043048	0.0058824	0.11774	0.86782	0.21033	2.2634	0.00043048	0.0039526	0.023612	0.15806	-0.1101	-1.165	0.11623	0.43062	0.24402	0.5192
DRD5	10	0.060016	0.77346	0.12699	0.39073	0.43925	0.99951	0.041017	0.52865	0.52777	0.74847	0.59705	0.86831	0.075215	0.96821	0.98063	0.99217	0.33294	0.61382
RET	10	0.012023	0.16133	0.58028	0.81475	0.87184	0.99951	0.046763	0.62759	0.46793	0.70722	0.53027	0.82802	-0.13933	-1.8653	0.065863	0.33121	0.062135	0.24218
ADRA2B	10	-0.028386	-0.39087	0.80499	0.91946	0.69589	0.99951	-0.033946	-0.46753	0.62462	0.79901	0.64012	0.89182	-0.0022625	-0.031085	0.51442	0.78309	0.9752	0.99105
CSNK1A1L	10	-0.028532	-0.36721	0.80456	0.91946	0.71346	0.99951	0.001026	0.013218	0.97675	0.98781	0.98945	0.99992	-0.24919	-3.1786	0.0055962	0.08589	0.0014799	0.022918
PDXDC1	10	-0.043265	-0.53417	0.58975	0.81559	0.59322	0.99951	0.0091877	0.11349	0.86655	0.92989	0.90964	0.96976	-0.063011	-0.77539	0.25527	0.61771	0.43811	0.70823
LALBA	10	-0.056047	-0.61904	0.42746	0.71695	0.53589	0.99951	-0.041271	-0.45609	0.55575	0.76526	0.64833	0.89182	0.084607	0.93133	0.95351	0.98226	0.35168	0.63183
PDP1	10	0.071983	1.0547	0.077056	0.31907	0.29156	0.99951	0.17014	2.4936	0.010762	0.067751	0.012644	0.09662	-0.27762	-4.053	0.0025829	0.055046	5.0569e-05	0.0021264
TBXAS1	10	-0.034961	-0.45518	0.70598	0.88125	0.64898	0.99951	-0.069626	-0.90683	0.33147	0.57292	0.3645	0.73374	0.00053381	0.0069258	0.5269	0.78968	0.99447	0.99728
AANAT	10	-0.16754	-2.6191	0.0060267	0.05364	0.0088167	0.1879	-0.14358	-2.2463	0.055101	0.20847	0.024685	0.16234	0.029966	0.4666	0.71115	0.89346	0.64079	0.83743
PIK3C2A	10	-0.068448	-1.3471	0.29488	0.59825	0.17795	0.99132	-0.05765	-1.1359	0.41842	0.66507	0.25599	0.63667	-0.027975	-0.54643	0.3926	0.71184	0.58477	0.80332
TCN1	10	0.061934	0.58973	0.11709	0.3783	0.55537	0.99951	0.047018	0.44849	0.46578	0.70535	0.6538	0.89182	0.033587	0.31604	0.72966	0.90016	0.75197	0.89739
CACNA1A	10	0.021425	0.28566	0.45545	0.73412	0.77514	0.99951	0.08597	1.1468	0.1963	0.43636	0.25148	0.63225	0.033547	0.44587	0.72966	0.90016	0.65569	0.84261
TGM2	10	-0.044964	-0.56611	0.56436	0.81076	0.57132	0.99951	-0.015813	-0.19917	0.8248	0.91393	0.84213	0.95582	-0.0014563	-0.018278	0.51786	0.78391	0.98542	0.99245
MMP1	10	-0.084411	-1.6601	0.17822	0.46465	0.096898	0.81653	-0.095262	-1.8738	0.17951	0.4201	0.060956	0.29196	0.024409	0.47922	0.67972	0.88148	0.63178	0.83258
NSF	10	-0.24973	-2.6114	0	0	0.0090169	0.1887	-0.24636	-2.5777	0.0012914	0.010714	0.0099451	0.079663	-0.37777	-3.9228	0	0	8.7531e-05	0.0030808
ALPI	10	-0.13937	-1.5838	0.025398	0.1612	0.11324	0.85667	-0.22547	-2.5626	0.0034438	0.026578	0.010388	0.081804	0.10863	1.2325	0.81446	0.927	0.21777	0.48876
DPEP1	10	-0.043275	-0.49787	0.58975	0.81559	0.61858	0.99951	-0.090297	-1.039	0.20103	0.44276	0.29882	0.68601	0.020646	0.23711	0.65045	0.86697	0.81257	0.92568
IMPA1	10	-0.016288	-0.16548	0.98924	0.9987	0.86856	0.99951	0.029951	0.30485	0.63969	0.81025	0.76048	0.93241	-0.15874	-1.5996	0.043048	0.26385	0.10969	0.33059
RPS6KA1	10	-0.018737	-0.16312	0.97116	0.99121	0.87042	0.99951	-0.11483	-1.0005	0.11063	0.31227	0.31705	0.69878	-0.14485	-1.244	0.060697	0.32118	0.2135	0.48533
GAD2	10	-0.10474	-0.78682	0.095566	0.35577	0.43139	0.99951	-0.1627	-1.2223	0.030133	0.13752	0.22159	0.59874	0.44261	3.3246	0.0094705	0.11957	0.00088553	0.016724
PDK1	10	0.0043784	0.045023	0.69867	0.87648	0.96409	0.99951	0.014578	0.14995	0.81403	0.90826	0.8808	0.96119	0.013385	0.13725	0.6031	0.83008	0.89083	0.96332
FARSB	10	-0.39301	-3.2749	0	0	0.001057	0.043078	-0.60021	-5.0007	0	0	5.7134e-07	1.7696e-05	-0.33771	-2.8032	0	0	0.0050594	0.056505
ABCC8	10	0.0059564	0.096779	0.67327	0.86648	0.9229	0.99951	0.081567	1.3254	0.22213	0.46612	0.18503	0.54786	-0.12127	-1.968	0.095997	0.39539	0.049067	0.21666
BUB1	10	-0.42154	-3.1021	0	0	0.0019215	0.062868	-0.54283	-3.9966	0	0	6.4271e-05	0.0011397	-0.41632	-3.0367	0	0	0.0023919	0.032684
ADAMTS5	10	0.04351	0.51944	0.226	0.51929	0.60346	0.99951	0.075474	0.90115	0.25226	0.50171	0.36751	0.73599	-0.040277	-0.48023	0.34223	0.68092	0.63107	0.83258
PRKACA	10	-0.056535	-0.72766	0.42187	0.71169	0.46682	0.99951	-0.12734	-1.6404	0.083943	0.26971	0.10092	0.38621	-0.022695	-0.28991	0.42015	0.73328	0.77189	0.90413
