Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
SNAP25	10	-0.075	-0.79768	0.47266	0.9961	0.42506	0.92978
GRIK2	10	-0.12088	-1.1805	0.24279	0.94108	0.23779	0.87765
ACPT	10	0.017729	0.21176	0.87645	0.9961	0.83229	0.99322
CDKN2D	10	-0.047023	-0.57813	0.64227	0.9961	0.56318	0.95942
PRKG1	10	-0.032328	-0.38677	0.74688	0.9961	0.69892	0.97862
RBP1	10	0.11888	1.3646	0.24451	0.94108	0.17239	0.82859
ATP2A1	10	-0.099666	-1.199	0.34395	0.9961	0.23053	0.87765
ATP8A1	10	-0.0071225	-0.086072	0.92424	0.9965	0.93141	0.99649
PPP1R13B	10	0.071056	0.82624	0.49118	0.9961	0.40867	0.92978
TENC1	10	0.072021	0.80504	0.48644	0.9961	0.4208	0.92978
CD3E	10	-0.015983	-0.15656	0.86009	0.9961	0.87559	0.99498
PDE4C	10	0.091564	1.1289	0.37581	0.9961	0.25894	0.87765
PTPRS	10	-0.1359	-1.8267	0.19458	0.88627	0.067744	0.71075
PAEP	10	0.058466	0.29732	0.5734	0.9961	0.76622	0.97983
AKR1A1	10	-0.0078147	-0.075713	0.9195	0.9965	0.93965	0.99649
GOT2	10	-0.06532	-0.72123	0.52475	0.9961	0.47077	0.92978
IFNAR2	10	0.0015408	0.0082403	0.98924	0.99784	0.99343	1
MYH14	10	0.097939	0.9908	0.3418	0.9961	0.32178	0.90162
PTGER1	10	-0.010961	-0.17718	0.89625	0.9965	0.85937	0.99498
CTSK	10	0.082191	0.93438	0.42445	0.9961	0.35011	0.9042
FARS2	10	-0.016349	-0.15973	0.85837	0.9961	0.87309	0.99498
GNMT	10	0.061102	0.82364	0.55747	0.9961	0.41014	0.92978
PACSIN3	10	-0.15353	-1.7475	0.14335	0.84131	0.080543	0.7464
PRKRIR	10	-0.17477	-1.3585	0.1003	0.78477	0.1743	0.82859
SLC23A1	10	-0.13728	-1.6356	0.1907	0.87723	0.10193	0.75484
DBH	10	-0.036036	-0.33519	0.71373	0.9961	0.73748	0.97983
CAT	10	-0.16978	-1.8991	0.11063	0.79758	0.057556	0.70695
TXNRD1	10	-0.031487	-0.45391	0.75204	0.9961	0.64989	0.97024
KSR1	10	-0.059442	-0.63705	0.5622	0.9961	0.52409	0.94221
PSTPIP1	10	0.090002	1.0056	0.38269	0.9961	0.31459	0.90162
HDC	10	-0.10489	-0.9046	0.31554	0.98795	0.36568	0.91352
UROD	10	0.017344	0.1456	0.87861	0.9961	0.88424	0.99498
GABRB3	10	-0.20695	-1.9525	0.054671	0.71751	0.050879	0.70695
PDE3A	10	0.044936	0.52746	0.67327	0.9961	0.59787	0.95942
WEE1	10	0.32139	1.7505	0.0021524	0.16129	0.080035	0.7464
ACTR2	10	-0.020164	-0.19365	0.83556	0.9961	0.84645	0.99498
STK24	10	0.0091496	0.1101	0.95222	0.9965	0.91233	0.99649
MATK	10	-0.0052073	-0.056468	0.93973	0.9965	0.95497	0.99869
AKAP9	10	0.17536	1.0002	0.082221	0.77642	0.31724	0.90162
PRKAB1	10	-0.027984	-0.27615	0.77873	0.9961	0.78243	0.97983
PPP4C	10	-0.067766	-0.28897	0.51055	0.9961	0.7726	0.97983
SUCNR1	10	0.069465	0.88254	0.50194	0.9961	0.37749	0.91538
GRM7	10	-0.068256	-0.84632	0.50882	0.9961	0.39738	0.92978
PPP1R3F	10	0.057487	0.75703	0.58201	0.9961	0.44903	0.92978
SULT2A1	10	-0.048219	-0.44184	0.63539	0.9961	0.6586	0.972
SLC25A4	10	-0.095212	-1.2536	0.36375	0.9961	0.20997	0.86446
RALA	10	-0.09175	-1.4417	0.38356	0.9961	0.14937	0.82859
MAPK13	10	0.044259	0.50458	0.67886	0.9961	0.61386	0.95959
MST4	10	-0.076772	-0.7327	0.46492	0.9961	0.46374	0.92978
PXK	10	0.038581	0.38965	0.71416	0.9961	0.6968	0.97862
IL5	10	-0.10003	-0.79905	0.34051	0.9961	0.42426	0.92978
CDC42SE2	10	-0.18757	-2.6479	0.079208	0.77637	0.0080986	0.49845
JAK2	10	-0.12979	-1.1662	0.21481	0.91577	0.24354	0.87765
CES1	10	0.063215	0.53495	0.53681	0.9961	0.59269	0.95942
CKM	10	-0.22181	-1.6613	0.038743	0.6338	0.096662	0.74663
TWF2	9	0.060461	0.68924	0.58932	0.9961	0.49067	0.93318
NR1H4	10	-0.05012	-0.47429	0.62161	0.9961	0.63529	0.96319
GABRA2	10	-0.037281	-0.31947	0.70555	0.9961	0.74937	0.97983
ARF6	10	0.009016	0.077624	0.95308	0.9965	0.93813	0.99649
CHRNE	10	0.13516	1.3625	0.18295	0.87247	0.17304	0.82859
SLC22A6	10	0.11857	1.7656	0.24494	0.94108	0.077458	0.73927
SST	10	0.097229	1.0439	0.34438	0.9961	0.29655	0.9005
PPP1R3C	10	-0.035435	-0.30849	0.72019	0.9961	0.75771	0.97983
S100A7	10	-0.0060425	-0.04064	0.93328	0.9965	0.96758	0.99869
GSK3B	10	0.26973	2.5159	0.0094705	0.43137	0.011872	0.50142
MGAT1	10	0.083991	1.1338	0.4167	0.9961	0.25688	0.87765
DYRK1A	10	0.28063	2.6114	0.0068876	0.35556	0.0090168	0.50142
SGK1	10	0.16838	1.8093	0.093844	0.77817	0.070397	0.71075
BST1	10	-0.026692	-0.33021	0.78993	0.9961	0.74124	0.97983
CLK3	10	0.21304	1.7298	0.037021	0.63235	0.083667	0.7464
NADK	10	-0.024165	-0.2502	0.80844	0.9961	0.80243	0.98264
CELA2A	10	0.038685	0.54935	0.71373	0.9961	0.58277	0.95942
TAB2	10	0.19364	1.3891	0.059836	0.72857	0.16481	0.82859
PRX	10	0.10994	0.93795	0.28412	0.97932	0.34827	0.9042
CTSF	10	0.084672	0.75172	0.4124	0.9961	0.45222	0.92978
B4GALT3	10	0.081956	1.3939	0.4266	0.9961	0.16334	0.82859
PKN3	10	0.045007	0.39222	0.67241	0.9961	0.69489	0.97862
INPP5J	10	-0.019029	-0.15294	0.84288	0.9961	0.87845	0.99498
MTMR9	10	0.082224	0.92951	0.42402	0.9961	0.35262	0.90592
TYK2	10	-0.094944	-0.73768	0.36505	0.9961	0.46071	0.92978
PTPRJ	10	0.045793	0.51655	0.66853	0.9961	0.60547	0.95942
CCKAR	10	0.022138	0.26801	0.84288	0.9961	0.78869	0.98111
CMPK1	10	-0.22783	-1.5918	0.03616	0.63235	0.11144	0.78673
STK39	10	-0.093298	-1.0162	0.37495	0.9961	0.30955	0.90162
PIK3R3	10	-0.029879	-0.30595	0.76582	0.9961	0.75964	0.97983
HTR2A	10	-0.12091	-1.5843	0.24279	0.94108	0.11312	0.78673
CDC14A	10	-0.20164	-2.8001	0.059406	0.72857	0.0051087	0.47992
PON1	10	0.24185	2.0304	0.018511	0.55844	0.04232	0.67799
ALDH5A1	10	-0.044811	-0.44519	0.6539	0.9961	0.65618	0.97152
BGLAP	8	-0.021541	-0.3582	0.85321	0.9961	0.72019	0.97983
ASNA1	10	-0.17028	-1.726	0.10934	0.79758	0.084356	0.7464
KYNU	10	0.0017171	0.018879	0.99096	0.99784	0.98494	0.99869
CHRND	10	-0.10348	-0.98737	0.32157	0.99072	0.32346	0.90162
LIMK1	10	-0.11245	-1.3069	0.27895	0.97151	0.19125	0.84388
AMHR2	10	-0.12764	-1.0879	0.22084	0.91771	0.27665	0.88643
ADRA1B	10	0.092113	1.018	0.37322	0.9961	0.30867	0.90162
PRKCD	10	0.087123	0.91381	0.39948	0.9961	0.36082	0.91205
DECR1	10	0.060282	0.65958	0.5622	0.9961	0.50952	0.93987
PDE9A	10	-0.024597	-0.31588	0.80585	0.9961	0.7521	0.97983
PARP15	10	-0.022808	-0.29683	0.81446	0.9961	0.7666	0.97983
CDC25C	10	-0.066145	-0.49021	0.52002	0.9961	0.62398	0.96319
MTHFD2	10	-0.15322	-1.5999	0.14378	0.84131	0.10961	0.78588
CDK17	10	-0.079374	-0.97889	0.45028	0.9961	0.32764	0.90227
HRH4	10	-0.11911	-1.3731	0.24925	0.94608	0.16974	0.82859
CSNK1G3	10	0.060064	0.75615	0.56307	0.9961	0.44956	0.92978
EPHA10	10	0.06709	0.53632	0.51614	0.9961	0.59174	0.95942
CYP2C8	10	-0.06859	-0.61529	0.50753	0.9961	0.53837	0.95314
CFD	10	-0.035668	-0.37871	0.71718	0.9961	0.7049	0.97862
TSPO	10	-0.080169	-0.90313	0.44641	0.9961	0.36646	0.91352
SCN4B	10	-0.048996	-0.4656	0.63022	0.9961	0.6415	0.96453
DUSP12	10	0.034734	0.43866	0.74602	0.9961	0.66091	0.97227
TMLHE	10	-0.05043	-0.3615	0.61946	0.9961	0.71772	0.97983
PPP1R12A	10	0.047488	0.42758	0.65562	0.9961	0.66896	0.97862
PTS	10	0.0057292	0.051235	0.97374	0.9965	0.95914	0.99869
PLA2G2E	10	0.028733	0.32515	0.7895	0.9961	0.74507	0.97983
AMT	10	0.093918	1.2598	0.36461	0.9961	0.20775	0.86343
MS4A2	10	0.042263	0.60078	0.69307	0.9961	0.54798	0.95407
ENPP2	10	0.049664	0.41677	0.6427	0.9961	0.67685	0.97862
ACE2	10	-0.0091933	-0.075942	0.90874	0.9965	0.93947	0.99649
CSK	10	0.13511	0.94509	0.18338	0.87247	0.34461	0.9042
KLK6	10	-0.16879	-2.1312	0.11192	0.79758	0.033071	0.65106
DYRK3	10	0.13726	1.2741	0.17563	0.86809	0.20262	0.86208
GLRB	10	-0.088894	-0.95575	0.39991	0.9961	0.3392	0.9042
FPGS	10	-0.013667	-0.11301	0.8743	0.9961	0.91002	0.99649
CDK2	10	-0.057998	-0.41406	0.56952	0.9961	0.67883	0.97862
G6PC	10	-0.14163	-1.2816	0.17563	0.86809	0.19997	0.85549
PPP3R1	10	0.15245	0.51735	0.12871	0.82561	0.60491	0.95942
EPM2A	10	-0.049935	-0.6163	0.62376	0.9961	0.5377	0.95276
NDUFS4	10	-0.020061	-0.19054	0.83556	0.9961	0.84889	0.99498
WARS2	10	-0.056066	-0.53263	0.5833	0.9961	0.59429	0.95942
PI4KB	10	-0.16147	-1.3661	0.12656	0.82561	0.17191	0.82859
CDA	10	0.059262	0.54792	0.56866	0.9961	0.58375	0.95942
LCK	10	0.11128	0.89535	0.27637	0.96692	0.3706	0.91352
PPM1B	10	-0.14715	-1.2916	0.16057	0.86696	0.19651	0.84727
NFE2L1	10	0.014325	0.14771	0.90357	0.9965	0.88257	0.99498
PDE6H	10	0.035101	0.44212	0.74128	0.9961	0.6584	0.972
NEK6	10	0.17968	1.3817	0.074042	0.76444	0.16707	0.82859
PIK3CA	10	-0.16783	-1.6448	0.11365	0.79758	0.10002	0.75284
SLC16A3	10	0.018409	0.1596	0.87	0.9961	0.8732	0.99498
FGG	10	-0.0025806	-0.038847	0.96212	0.9965	0.96901	0.99869
DPP6	10	0.11395	1.2431	0.26431	0.95497	0.21384	0.86446
PIKFYVE	10	-0.058296	-0.60374	0.5678	0.9961	0.54601	0.95407
PIK3CG	10	0.11472	0.95182	0.26173	0.95305	0.34119	0.9042
CMA1	9	0.017872	0.13846	0.88248	0.9965	0.88988	0.99498
GLP2R	10	-0.010787	-0.094877	0.89669	0.9965	0.92441	0.99649
PPP2R2A	10	-0.1384	-1.221	0.18554	0.87247	0.2221	0.87004
MTNR1A	9	0.033848	0.3607	0.77271	0.9961	0.71832	0.97983
SQLE	10	-0.01166	-0.065507	0.88937	0.9965	0.94777	0.99756
COX5B	10	0.036926	0.49505	0.72665	0.9961	0.62056	0.96223
IL11RA	10	0.1104	1.1174	0.2811	0.97173	0.26383	0.87765
KCNA1	10	-0.0045495	-0.039052	0.94662	0.9965	0.96885	0.99869
ACP1	10	0.10487	1.261	0.30865	0.98795	0.20729	0.86343
GABRQ	10	-0.046653	-0.56534	0.64443	0.9961	0.57184	0.95942
PTP4A3	10	0.059832	0.74245	0.56393	0.9961	0.45782	0.92978
NDUFV1	10	-0.02388	-0.25611	0.80887	0.9961	0.79787	0.98253
IRGC	10	0.11855	1.0799	0.24537	0.94108	0.28018	0.89179
CYSLTR1	10	-0.1532	-1.6761	0.14378	0.84131	0.093721	0.74663
LATS1	10	0.10915	1.5275	0.28756	0.97947	0.12664	0.8237
NT5C	10	-0.088099	-0.85114	0.40336	0.9961	0.39469	0.92901
PTGER3	10	-0.12348	-1.1102	0.23461	0.93664	0.26692	0.87765
SNX3	10	0.05195	0.58852	0.62635	0.9961	0.55618	0.95942
ETNK2	10	0.064691	0.67372	0.52949	0.9961	0.50049	0.93464
MYLK2	10	-0.049858	-0.45484	0.62462	0.9961	0.64922	0.96987
PCTP	10	0.14157	1.6518	0.16143	0.86696	0.098573	0.75077
SLC16A8	10	0.0094302	0.11554	0.9492	0.9965	0.90802	0.99649
CALM3	10	-0.15399	-1.1976	0.14206	0.84131	0.23107	0.87765
PRKAR2A	10	0.076013	0.83711	0.46018	0.9961	0.40253	0.92978
CDK11B	10	-0.13059	-1.7414	0.21136	0.91577	0.08161	0.7464
PRKAR1B	10	-0.021009	-0.21883	0.82738	0.9961	0.82678	0.99267
SULT1A1	10	0.22916	1.5332	0.024537	0.6	0.12522	0.8237
DGKE	10	0.045147	0.4553	0.67198	0.9961	0.64889	0.96987
SCYL2	10	0.087131	0.64738	0.39948	0.9961	0.51739	0.94163
GCAT	10	0.088871	0.98713	0.38743	0.9961	0.32358	0.90162
NRGN	10	0.038859	0.58378	0.7133	0.9961	0.55937	0.95942
TNNI3	10	0.014129	0.11383	0.90573	0.9965	0.90937	0.99649
NQO1	10	-0.017696	-0.15324	0.85105	0.9961	0.87821	0.99498
PIK3R2	11	-0.051148	-0.56322	0.60654	0.9961	0.57329	0.95942
S100P	10	-0.0026313	-0.035947	0.96212	0.9965	0.97132	0.99869
COX6A2	10	0.085812	0.98915	0.4068	0.9961	0.32259	0.90162
PPP1R3B	10	-0.017187	-0.14868	0.85407	0.9961	0.88181	0.99498
AXL	10	-0.00063789	-0.0065117	0.97417	0.9965	0.9948	1
CYP3A5	10	-0.084366	-0.78703	0.42617	0.9961	0.43127	0.92978
PHYH	10	-0.024036	-0.32734	0.80887	0.9961	0.74341	0.97983
GRIN3A	10	-0.080495	-1.0546	0.44511	0.9961	0.29161	0.89459
ANXA3	10	0.0039573	0.031267	0.9901	0.99784	0.97506	0.99869
TAF1	10	-0.057675	-0.46791	0.57081	0.9961	0.63985	0.96392
HSD11B2	10	-0.055155	-0.79791	0.59191	0.9961	0.42492	0.92978
NDUFC2	10	-0.12107	-0.49397	0.24236	0.94108	0.62133	0.96223
SCN3A	10	0.098059	0.89431	0.34137	0.9961	0.37116	0.91352
LHCGR	10	-0.081624	-0.78367	0.43866	0.9961	0.43323	0.92978
ROR1	10	0.083499	1.0748	0.41972	0.9961	0.28245	0.8927
CSF1R	10	-0.03958	-0.48494	0.69264	0.9961	0.62772	0.96319
CCR5	10	-0.22414	-1.8056	0.036591	0.63235	0.070983	0.71075
INSR	10	0.079411	0.95753	0.43952	0.9961	0.3383	0.9042
HGS	10	-0.16305	-1.4719	0.12226	0.81143	0.14105	0.82859
NAGLU	10	-0.035934	-0.41843	0.71416	0.9961	0.67564	0.97862
SIGLEC7	10	-0.087629	-1.1168	0.40809	0.9961	0.2641	0.87765
MTMR8	10	0.10986	0.7088	0.28498	0.97932	0.47845	0.93058
GM2A	10	-0.071236	-0.87656	0.49548	0.9961	0.38073	0.91841
STK17A	10	0.12871	1.3335	0.20491	0.91013	0.18236	0.83494
VAMP1	10	-0.16324	-1.8626	0.12096	0.81143	0.062516	0.70695
PTPRG	10	0.1259	1.1539	0.21481	0.91577	0.24856	0.87765
CUTA	10	-0.067487	-0.7244	0.51141	0.9961	0.46882	0.92978
KCNH7	10	-0.07392	-0.69055	0.48084	0.9961	0.48985	0.93318
PPEF1	10	-0.086547	-0.75139	0.41326	0.9961	0.45242	0.92978
TTBK1	10	-0.075193	-0.96342	0.4718	0.9961	0.33534	0.9042
PNLIP	10	0.077153	0.87481	0.45372	0.9961	0.38168	0.91916
PTPN12	10	0.20657	2.1182	0.042187	0.65772	0.034157	0.65747
FARSA	10	-0.027284	-0.16277	0.78433	0.9961	0.8707	0.99498
SGK494	3	-0.096452	-0.52917	0.59148	0.9961	0.59669	0.95942
MUT	10	0.011025	0.1217	0.93887	0.9965	0.90313	0.99649
BBOX1	10	-0.17473	-2.0258	0.1003	0.78477	0.042781	0.67799
ACYP2	10	0.029823	0.32098	0.7796	0.9961	0.74823	0.97983
PPIB	10	0.017977	0.17912	0.87387	0.9961	0.85784	0.99498
PARK7	10	0.064187	0.62196	0.53336	0.9961	0.53397	0.95016
SSTR5	10	-0.091352	-0.82179	0.38571	0.9961	0.4112	0.92978
TRDMT1	10	-0.08906	-0.80642	0.39819	0.9961	0.42	0.92978
CHKB	10	0.26431	2.5993	0.011623	0.48214	0.0093416	0.50142
OPRM1	10	0.13854	1.4465	0.17047	0.86809	0.14804	0.82859
CTDNEP1	10	-0.15638	-1.3586	0.13818	0.84131	0.17427	0.82859
MMP21	10	-0.017778	-0.26768	0.85019	0.9961	0.78895	0.98111
SHPK	11	0.032326	0.35927	0.74946	0.9961	0.71939	0.97983
FOLH1	10	0.046052	0.58224	0.66767	0.9961	0.56041	0.95942
SHMT2	10	-0.034082	-0.26811	0.73009	0.9961	0.78862	0.98111
ASS1	10	0.079422	0.68211	0.43952	0.9961	0.49517	0.93351
CDKL1	10	0.036756	0.32604	0.72708	0.9961	0.74439	0.97983
NMRAL1	10	-0.061896	-0.75568	0.54671	0.9961	0.44984	0.92978
PTH	6	-0.10987	-0.72998	0.41713	0.9961	0.4654	0.92978
PMVK	10	-0.1535	-1.2939	0.14335	0.84131	0.19569	0.84727
KRT12	10	0.046069	0.40158	0.66767	0.9961	0.68799	0.97862
CA5B	10	0.039103	0.50132	0.71115	0.9961	0.61614	0.95959
PTPN23	10	-0.5051	-2.5177	0	0	0.011814	0.50142
CPB1	10	-0.049198	-0.74719	0.62936	0.9961	0.45495	0.92978
SLC25A13	10	-0.026404	-0.29413	0.79208	0.9961	0.76866	0.97983
OXT	10	-0.28842	-2.4524	0.010331	0.45283	0.014192	0.54146
TRAPPC6A	10	-0.11011	-0.92394	0.29143	0.98166	0.35552	0.90745
CYB5B	10	0.10184	0.79293	0.32243	0.99074	0.42782	0.92978
PCBD1	10	-0.031196	-0.29795	0.75463	0.9961	0.76574	0.97983
RBKS	10	-0.063463	-0.36725	0.53638	0.9961	0.71343	0.97983
PTGER2	10	0.036551	0.38738	0.7288	0.9961	0.69848	0.97862
CA7	10	-0.020489	-0.13878	0.83168	0.9961	0.88962	0.99498
ACPP	10	0.1303	1.1495	0.19802	0.8932	0.25036	0.87765
GUSB	10	0.050386	0.45103	0.63582	0.9961	0.65197	0.97037
HLA-DQB1	10	-0.098273	-1.0156	0.34955	0.9961	0.30982	0.90162
NDUFA11	2	0.11605	0.30169	0.61903	0.9961	0.76289	0.97983
CA4	10	0.0067474	0.069193	0.96814	0.9965	0.94484	0.99709
SLC12A2	10	-0.03423	-0.34437	0.72966	0.9961	0.73057	0.97983
CDK9	10	-0.23807	-1.8374	0.030133	0.62393	0.06615	0.70695
KIF3B	10	-0.051762	-0.7854	0.61214	0.9961	0.43222	0.92978
GLS	10	-0.064282	-0.96926	0.53293	0.9961	0.33242	0.9042
SCGB1A1	10	0.017177	0.1638	0.88119	0.9965	0.86989	0.99498
GRID1	10	0.050662	0.69503	0.63366	0.9961	0.48704	0.93318
GDI1	10	0.11679	1.1993	0.25441	0.95305	0.2304	0.87765
SLC16A2	10	0.17524	1.9654	0.082221	0.77642	0.049372	0.70498
CSNK1G2	10	0.29136	2.9354	0.0047353	0.28205	0.0033309	0.47992
CD4	10	-0.030288	-0.34249	0.76324	0.9961	0.73198	0.97983
VRK3	10	0.020484	0.19464	0.85665	0.9961	0.84568	0.99498
DUSP15	10	-0.15476	-1.9175	0.14034	0.84131	0.055176	0.70695
RPS6KA4	10	-0.017782	-0.28454	0.85019	0.9961	0.776	0.97983
SLC6A8	10	-0.11593	-1.2646	0.26302	0.95469	0.20601	0.86343
PRLR	10	-0.077342	-0.99581	0.46233	0.9961	0.31934	0.90162
SRC	10	0.032761	0.34459	0.75936	0.9961	0.73041	0.97983
ULK4	10	0.037866	0.25617	0.71761	0.9961	0.79782	0.98253
ACADS	10	0.050303	0.45869	0.63711	0.9961	0.64646	0.96698
HTR6	10	-0.11416	-1.1711	0.2712	0.9633	0.24155	0.87765
DARS	10	-0.21436	-1.208	0.046492	0.67901	0.22703	0.87765
LIPT1	10	-0.11669	-1.1831	0.26001	0.95305	0.23677	0.87765
RIOK1	10	-0.061337	-0.39851	0.55015	0.9961	0.69026	0.97862
CHEK1	10	0.19423	0.84363	0.058975	0.72857	0.39888	0.92978
PIM1	10	0.025325	0.20626	0.8192	0.9961	0.83659	0.99419
PPIG	10	0.095945	0.87863	0.3517	0.9961	0.3796	0.91671
PI4K2A	10	0.014374	0.18315	0.90357	0.9965	0.85468	0.99498
TAB1	10	0.065184	0.58693	0.52647	0.9961	0.55725	0.95942
DCLK3	10	0.021947	0.17926	0.84503	0.9961	0.85774	0.99498
PPP1R14A	10	-0.016222	-0.1645	0.85837	0.9961	0.86934	0.99498
PGK1	10	-0.37183	-2.7158	0.0017219	0.16129	0.0066111	0.47992
ATM	10	0.1376	1.2968	0.17434	0.86809	0.19469	0.84727
PSKH2	10	-0.044417	-0.51705	0.65691	0.9961	0.60512	0.95942
HTR1A	10	0.040745	0.51424	0.70211	0.9961	0.60708	0.95959
NDUFB6	10	0.029384	0.31336	0.78261	0.9961	0.75401	0.97983
ALPK1	10	0.025935	0.16995	0.81317	0.9961	0.86505	0.99498
LAP3	10	-0.085949	-1.1789	0.41756	0.9961	0.23843	0.87765
NEK5	10	0.072725	0.77466	0.48084	0.9961	0.43854	0.92978
CYSLTR2	10	0.10055	1.1291	0.33018	0.9961	0.25885	0.87765
IKBKG	10	0.072063	0.7522	0.48601	0.9961	0.45193	0.92978
NRIP1	10	0.023068	0.26396	0.83556	0.9961	0.79181	0.98253
CDK3	10	-0.033544	-0.37891	0.7331	0.9961	0.70475	0.97862
SLC6A3	10	0.0834	0.69526	0.41972	0.9961	0.48689	0.93318
UQCRB	10	-0.084069	-0.77244	0.42789	0.9961	0.43985	0.92978
CHUK	10	0.99974	2.8754	0	0	0.0040354	0.47992
PDE6G	10	0.14432	1.3095	0.15153	0.85854	0.19036	0.84388
GRM2	10	0.13226	1.3897	0.18984	0.87723	0.16463	0.82859
MAP3K10	10	-0.19243	-2.0883	0.072751	0.76339	0.036772	0.66586
PRKAG2	10	-0.13443	-1.4464	0.19974	0.89749	0.14806	0.82859
PNMT	10	0.045637	0.50392	0.66939	0.9961	0.61431	0.95959
ERO1LB	10	0.0053769	0.075945	0.97503	0.9965	0.93946	0.99649
IRAK1BP1	10	-0.041283	-0.55235	0.67929	0.9961	0.58071	0.95942
DDAH1	10	-0.074863	-0.73551	0.47439	0.9961	0.46203	0.92978
MAP2K1	10	0.17589	1.394	0.080499	0.77642	0.16331	0.82859
GRID2	10	0.1078	1.0868	0.29402	0.98166	0.27713	0.88673
KCNH6	10	0.048171	0.56055	0.65088	0.9961	0.57511	0.95942
PVR	10	-0.043512	-0.64595	0.66078	0.9961	0.51831	0.94163
PPP1R1C	10	-0.024525	-0.24982	0.80672	0.9961	0.80273	0.98264
COX8A	5	-0.069519	-0.46866	0.63409	0.9961	0.63931	0.96374
MAP3K2	10	-0.0065564	-0.064995	0.9294	0.9965	0.94818	0.99756
TNFSF13B	10	-0.075442	-0.7234	0.47008	0.9961	0.46944	0.92978
GSTA4	10	0.088192	0.8124	0.39044	0.9961	0.41656	0.92978
NTRK2	10	-0.048534	-0.56841	0.6328	0.9961	0.56976	0.95942
MAST3	10	0.11381	1.1071	0.26474	0.95497	0.26825	0.87832
ASGR2	10	-0.089064	-0.84187	0.39819	0.9961	0.39986	0.92978
KCND3	10	0.070485	0.73341	0.49548	0.9961	0.46331	0.92978
AKAP1	10	-0.24222	-2.3097	0.027551	0.61905	0.020905	0.5582
DARS2	10	-0.04122	-0.50412	0.67972	0.9961	0.61418	0.95959
DUSP10	10	-0.029178	-0.30494	0.76883	0.9961	0.76041	0.97983
ACHE	10	-0.11109	-1.0627	0.28713	0.97944	0.28791	0.89459
AURKAIP1	10	0.14084	1.4549	0.16444	0.86696	0.1457	0.82859
GMPR	10	-0.064555	-0.64718	0.53035	0.9961	0.51752	0.94163
SLC6A5	10	0.085014	0.85695	0.41068	0.9961	0.39147	0.92685
SLC7A2	10	-0.10041	-0.79577	0.33793	0.9961	0.42617	0.92978
QPCT	10	0.032946	0.38198	0.7585	0.9961	0.70248	0.97862
TRIB3	10	0.095969	1.3811	0.3517	0.9961	0.16723	0.82859
CA2	10	0.037115	0.45328	0.72492	0.9961	0.65035	0.9703
F5	10	-0.24547	-2.377	0.025829	0.60606	0.017455	0.54153
TUBB3	14	-0.05918	-0.72558	0.50151	0.9961	0.46809	0.92978
IFNGR1	10	0.054085	0.57284	0.6087	0.9961	0.56676	0.95942
SV2A	10	0.16719	1.7033	0.095136	0.77817	0.088507	0.74663
GSTA3	10	0.33255	2.3674	0.0021524	0.16129	0.017913	0.54221
KCNJ1	10	0.09401	0.89406	0.36418	0.9961	0.37129	0.91352
RPS6KA5	10	-0.082295	-0.85037	0.43478	0.9961	0.39512	0.92901
CNR1	10	0.063316	0.524	0.53638	0.9961	0.60028	0.95942
IDE	10	0.034934	0.34345	0.74214	0.9961	0.73126	0.97983
CDK6	10	-0.21362	-2.0863	0.046922	0.67901	0.03695	0.66586
PAK1	10	-0.054902	-0.70401	0.59363	0.9961	0.48142	0.93126
NDUFB3	10	0.073133	0.50712	0.47998	0.9961	0.61207	0.95959
OGFOD1	10	0.22026	1.8583	0.031425	0.62393	0.063131	0.70695
CHRNB3	10	0.0083827	0.084985	0.95566	0.9965	0.93227	0.99649
CDK5	10	-0.017408	-0.19267	0.85192	0.9961	0.84722	0.99498
LTC4S	10	0.18442	1.9111	0.065863	0.72857	0.05599	0.70695
TRAPPC6B	10	-0.0036617	-0.045167	0.95351	0.9965	0.96397	0.99869
YARS	10	-0.22968	-1.5281	0.035299	0.63235	0.12649	0.8237
CSNK2B	10	0.21383	0.98315	0.036591	0.63235	0.32553	0.90162
ACTA1	10	-0.013077	-0.12871	0.87817	0.9961	0.89759	0.99649
B4GALT1	10	0.11557	1.2333	0.25915	0.95305	0.21748	0.86446
CYGB	10	0.078776	1.0548	0.44296	0.9961	0.29154	0.89459
GPX1	10	-0.066398	-0.57894	0.5183	0.9961	0.56263	0.95942
GSG2	10	0.038252	0.42084	0.71675	0.9961	0.67387	0.97862
RIOK2	9	-0.053246	-0.57067	0.62635	0.9961	0.56823	0.95942
TRAPPC3	10	-0.22214	-2.1878	0.038313	0.6338	0.028688	0.61705
NDUFS1	10	-0.27685	-2.0263	0.013775	0.5	0.042733	0.67799
ITPK1	10	0.16905	1.9282	0.092553	0.77817	0.053835	0.70695
OGDH	10	-0.03575	-0.32302	0.71632	0.9961	0.74668	0.97983
PRKCG	10	-0.074009	-0.9381	0.48041	0.9961	0.34819	0.9042
PURA	10	0.20233	1.4752	0.048214	0.68047	0.14015	0.82859
SLC7A4	10	0.022403	0.10088	0.84072	0.9961	0.91965	0.99649
MAP3K6	10	-0.0215	-0.26423	0.82437	0.9961	0.7916	0.98253
PIK3C2B	10	0.088959	0.93879	0.38743	0.9961	0.34784	0.9042
PPP2CB	10	0.1995	1.4186	0.051227	0.68786	0.15601	0.82859
C8G	10	-0.1141	-1.0187	0.2712	0.9633	0.30836	0.90162
